cohort,quarter,date,day_of_quarter,downloads,cum_downloads
control,2017Q2,2017-05-02,32,31637,846473
control,2017Q2,2017-05-03,33,36955,883428
control,2017Q2,2017-05-04,34,44334,927762
control,2017Q2,2017-05-05,35,37736,965498
control,2017Q2,2017-05-06,36,13886,979384
control,2017Q2,2017-05-07,37,16502,995886
control,2017Q2,2017-05-08,38,29750,1025636
control,2017Q2,2017-05-09,39,32152,1057788
control,2017Q2,2017-05-10,40,31413,1089201
control,2017Q2,2017-05-11,41,41872,1131073
control,2017Q2,2017-05-12,42,42931,1174004
control,2017Q2,2017-05-13,43,13105,1187109
control,2017Q2,2017-05-14,44,10512,1197621
control,2017Q2,2017-05-15,45,29392,1227013
control,2017Q2,2017-05-16,46,35910,1262923
control,2017Q2,2017-05-17,47,35746,1298669
control,2017Q2,2017-05-18,48,32252,1330921
control,2017Q2,2017-05-19,49,23271,1354192
control,2017Q2,2017-05-20,50,7586,1361778
control,2017Q2,2017-05-21,51,7903,1369681
control,2017Q2,2017-05-22,52,23002,1392683
control,2017Q2,2017-05-23,53,26569,1419252
control,2017Q2,2017-05-24,54,25383,1444635
control,2017Q2,2017-05-25,55,22057,1466692
control,2017Q2,2017-05-26,56,20530,1487222
control,2017Q2,2017-05-27,57,6556,1493778
control,2017Q2,2017-05-28,58,7000,1500778
control,2017Q2,2017-05-29,59,16551,1517329
control,2017Q2,2017-05-30,60,24049,1541378
control,2017Q2,2017-05-31,61,25365,1566743
control,2017Q2,2017-06-01,62,29768,1596511
control,2017Q2,2017-06-02,63,28029,1624540
control,2017Q2,2017-06-03,64,11334,1635874
control,2017Q2,2017-06-04,65,7415,1643289
control,2017Q2,2017-06-05,66,23007,1666296
control,2017Q2,2017-06-06,67,30401,1696697
control,2017Q2,2017-06-07,68,31286,1727983
control,2017Q2,2017-06-08,69,29390,1757373
control,2017Q2,2017-06-09,70,27921,1785294
control,2017Q2,2017-06-10,71,10570,1795864
control,2017Q2,2017-06-11,72,9731,1805595
control,2017Q2,2017-06-12,73,27139,1832734
control,2017Q2,2017-06-13,74,29524,1862258
control,2017Q2,2017-06-14,75,30061,1892319
control,2017Q2,2017-06-15,76,28206,1920525
control,2017Q2,2017-06-16,77,24669,1945194
control,2017Q2,2017-06-17,78,8250,1953444
control,2017Q2,2017-06-18,79,7981,1961425
control,2017Q2,2017-06-19,80,27474,1988899
control,2017Q2,2017-06-20,81,29481,2018380
control,2017Q2,2017-06-21,82,31176,2049556
control,2017Q2,2017-06-22,83,30375,2079931
control,2017Q2,2017-06-23,84,23789,2103720
control,2017Q2,2017-06-24,85,8216,2111936
control,2017Q2,2017-06-25,86,7568,2119504
control,2017Q2,2017-06-26,87,24393,2143897
control,2017Q2,2017-06-27,88,27946,2171843
control,2017Q2,2017-06-28,89,26284,2198127
control,2017Q2,2017-06-29,90,25636,2223763
control,2017Q2,2017-06-30,91,21947,2245710
control,2017Q3,2017-07-01,1,6322,6322
control,2017Q3,2017-07-02,2,6861,13183
control,2017Q3,2017-07-03,3,20212,33395
control,2017Q3,2017-07-04,4,21092,54487
control,2017Q3,2017-07-05,5,25386,79873
control,2017Q3,2017-07-06,6,25951,105824
control,2017Q3,2017-07-07,7,21348,127172
control,2017Q3,2017-07-08,8,5615,132787
control,2017Q3,2017-07-09,9,6543,139330
control,2017Q3,2017-07-10,10,24361,163691
control,2017Q3,2017-07-11,11,26189,189880
control,2017Q3,2017-07-12,12,27678,217558
control,2017Q3,2017-07-13,13,28496,246054
control,2017Q3,2017-07-14,14,21255,267309
control,2017Q3,2017-07-15,15,5762,273071
control,2017Q3,2017-07-16,16,5973,279044
control,2017Q3,2017-07-17,17,23836,302880
control,2017Q3,2017-07-18,18,30332,333212
control,2017Q3,2017-07-19,19,26624,359836
control,2017Q3,2017-07-20,20,25140,384976
control,2017Q3,2017-07-21,21,21486,406462
control,2017Q3,2017-07-22,22,5907,412369
control,2017Q3,2017-07-23,23,6489,418858
control,2017Q3,2017-07-24,24,24788,443646
control,2017Q3,2017-07-25,25,30804,474450
control,2017Q3,2017-07-26,26,27036,501486
control,2017Q3,2017-07-27,27,26726,528212
control,2017Q3,2017-07-28,28,23016,551228
control,2017Q3,2017-07-29,29,6754,557982
control,2017Q3,2017-07-30,30,7242,565224
control,2017Q3,2017-07-31,31,22981,588205
control,2017Q3,2017-08-01,32,26737,614942
control,2017Q3,2017-08-02,33,31991,646933
control,2017Q3,2017-08-03,34,29388,676321
control,2017Q3,2017-08-04,35,23155,699476
control,2017Q3,2017-08-05,36,8329,707805
control,2017Q3,2017-08-06,37,7753,715558
control,2017Q3,2017-08-07,38,28729,744287
control,2017Q3,2017-08-08,39,36503,780790
control,2017Q3,2017-08-09,40,29971,810761
control,2017Q3,2017-08-10,41,28066,838827
control,2017Q3,2017-08-11,42,24675,863502
control,2017Q3,2017-08-12,43,7992,871494
control,2017Q3,2017-08-13,44,7047,878541
control,2017Q3,2017-08-14,45,25474,904015
control,2017Q3,2017-08-15,46,26613,930628
control,2017Q3,2017-08-16,47,32502,963130
control,2017Q3,2017-08-17,48,29151,992281
control,2017Q3,2017-08-18,49,24613,1016894
control,2017Q3,2017-08-19,50,7437,1024331
control,2017Q3,2017-08-20,51,8501,1032832
control,2017Q3,2017-08-21,52,26334,1059166
control,2017Q3,2017-08-22,53,28816,1087982
control,2017Q3,2017-08-23,54,32599,1120581
control,2017Q3,2017-08-24,55,29278,1149859
control,2017Q3,2017-08-25,56,24234,1174093
control,2017Q3,2017-08-26,57,6923,1181016
control,2017Q3,2017-08-27,58,7835,1188851
control,2017Q3,2017-08-28,59,25908,1214759
control,2017Q3,2017-08-29,60,28826,1243585
control,2017Q3,2017-08-30,61,27958,1271543
control,2017Q3,2017-08-31,62,27033,1298576
control,2017Q3,2017-09-01,63,22397,1320973
control,2017Q3,2017-09-02,64,6937,1327910
control,2017Q3,2017-09-03,65,6687,1334597
control,2017Q3,2017-09-04,66,21250,1355847
control,2017Q3,2017-09-05,67,35949,1391796
control,2017Q3,2017-09-06,68,29240,1421036
control,2017Q3,2017-09-07,69,29000,1450036
control,2017Q3,2017-09-08,70,25366,1475402
control,2017Q3,2017-09-09,71,9375,1484777
control,2017Q3,2017-09-10,72,9719,1494496
control,2017Q3,2017-09-11,73,32183,1526679
control,2017Q3,2017-09-12,74,35987,1562666
control,2017Q3,2017-09-13,75,31862,1594528
control,2017Q3,2017-09-14,76,30017,1624545
control,2017Q3,2017-09-15,77,27533,1652078
control,2017Q3,2017-09-16,78,7863,1659941
control,2017Q3,2017-09-17,79,8140,1668081
control,2017Q3,2017-09-18,80,28630,1696711
control,2017Q3,2017-09-19,81,31563,1728274
control,2017Q3,2017-09-20,82,30326,1758600
control,2017Q3,2017-09-21,83,30648,1789248
control,2017Q3,2017-09-22,84,27247,1816495
control,2017Q3,2017-09-23,85,8026,1824521
control,2017Q3,2017-09-24,86,8837,1833358
control,2017Q3,2017-09-25,87,28948,1862306
control,2017Q3,2017-09-26,88,35004,1897310
control,2017Q3,2017-09-27,89,33441,1930751
control,2017Q3,2017-09-28,90,30517,1961268
control,2017Q3,2017-09-29,91,25588,1986856
control,2017Q3,2017-09-30,92,8572,1995428
control,2017Q4,2017-10-01,1,9229,9229
control,2017Q4,2017-10-02,2,26001,35230
control,2017Q4,2017-10-03,3,30140,65370
control,2017Q4,2017-10-04,4,31997,97367
control,2017Q4,2017-10-05,5,38298,135665
control,2017Q4,2017-10-06,6,36514,172179
control,2017Q4,2017-10-07,7,14887,187066
control,2017Q4,2017-10-08,8,12563,199629
control,2017Q4,2017-10-09,9,31960,231589
control,2017Q4,2017-10-10,10,37379,268968
control,2017Q4,2017-10-11,11,34062,303030
control,2017Q4,2017-10-12,12,33444,336474
control,2017Q4,2017-10-13,13,29877,366351
control,2017Q4,2017-10-14,14,18108,384459
control,2017Q4,2017-10-15,15,14602,399061
control,2017Q4,2017-10-16,16,40676,439737
control,2017Q4,2017-10-17,17,35216,474953
control,2017Q4,2017-10-18,18,33250,508203
control,2017Q4,2017-10-19,19,47271,555474
control,2017Q4,2017-10-20,20,54243,609717
control,2017Q4,2017-10-21,21,23223,632940
control,2017Q4,2017-10-22,22,22597,655537
control,2017Q4,2017-10-23,23,46221,701758
control,2017Q4,2017-10-24,24,50831,752589
control,2017Q4,2017-10-25,25,55284,807873
control,2017Q4,2017-10-26,26,35627,843500
control,2017Q4,2017-10-27,27,36328,879828
control,2017Q4,2017-10-28,28,10384,890212
control,2017Q4,2017-10-29,29,8998,899210
control,2017Q4,2017-10-30,30,30934,930144
control,2017Q4,2017-10-31,31,32416,962560
control,2017Q4,2017-11-01,32,30588,993148
control,2017Q4,2017-11-02,33,35956,1029104
control,2017Q4,2017-11-03,34,32210,1061314
control,2017Q4,2017-11-04,35,8144,1069458
control,2017Q4,2017-11-05,36,9535,1078993
control,2017Q4,2017-11-06,37,31035,1110028
control,2017Q4,2017-11-07,38,33406,1143434
control,2017Q4,2017-11-08,39,34026,1177460
control,2017Q4,2017-11-09,40,34639,1212099
control,2017Q4,2017-11-10,41,29798,1241897
control,2017Q4,2017-11-11,42,12007,1253904
control,2017Q4,2017-11-12,43,11801,1265705
control,2017Q4,2017-11-13,44,34724,1300429
control,2017Q4,2017-11-14,45,38747,1339176
control,2017Q4,2017-11-15,46,38663,1377839
control,2017Q4,2017-11-16,47,37678,1415517
control,2017Q4,2017-11-17,48,33410,1448927
control,2017Q4,2017-11-18,49,11607,1460534
control,2017Q4,2017-11-19,50,11801,1472335
control,2017Q4,2017-11-20,51,32004,1504339
control,2017Q4,2017-11-21,52,37592,1541931
control,2017Q4,2017-11-22,53,40675,1582606
control,2017Q4,2017-11-23,54,24739,1607345
control,2017Q4,2017-11-24,55,21298,1628643
control,2017Q4,2017-11-25,56,8542,1637185
control,2017Q4,2017-11-26,57,9429,1646614
control,2017Q4,2017-11-27,58,30945,1677559
control,2017Q4,2017-11-28,59,38370,1715929
control,2017Q4,2017-11-29,60,34935,1750864
control,2017Q4,2017-11-30,61,33415,1784279
control,2017Q4,2017-12-01,62,33860,1818139
control,2017Q4,2017-12-02,63,16643,1834782
control,2017Q4,2017-12-03,64,17828,1852610
control,2017Q4,2017-12-04,65,40205,1892815
control,2017Q4,2017-12-05,66,39530,1932345
control,2017Q4,2017-12-06,67,33679,1966024
control,2017Q4,2017-12-07,68,33878,1999902
control,2017Q4,2017-12-08,69,27913,2027815
control,2017Q4,2017-12-09,70,9463,2037278
control,2017Q4,2017-12-10,71,10065,2047343
control,2017Q4,2017-12-11,72,32548,2079891
control,2017Q4,2017-12-12,73,38350,2118241
control,2017Q4,2017-12-13,74,34882,2153123
control,2017Q4,2017-12-14,75,33175,2186298
control,2017Q4,2017-12-15,76,28185,2214483
control,2017Q4,2017-12-16,77,10018,2224501
control,2017Q4,2017-12-17,78,9925,2234426
control,2017Q4,2017-12-18,79,31012,2265438
control,2017Q4,2017-12-19,80,33118,2298556
control,2017Q4,2017-12-20,81,34484,2333040
control,2017Q4,2017-12-21,82,30373,2363413
control,2017Q4,2017-12-22,83,22481,2385894
control,2017Q4,2017-12-23,84,8083,2393977
control,2017Q4,2017-12-24,85,7162,2401139
control,2017Q4,2017-12-25,86,8288,2409427
control,2017Q4,2017-12-26,87,13529,2422956
control,2017Q4,2017-12-27,88,17981,2440937
control,2017Q4,2017-12-28,89,18966,2459903
control,2017Q4,2017-12-29,90,17034,2476937
control,2017Q4,2017-12-30,91,8217,2485154
control,2017Q4,2017-12-31,92,7685,2492839
control,2018Q1,2018-01-01,1,8356,8356
control,2018Q1,2018-01-02,2,24851,33207
control,2018Q1,2018-01-03,3,33547,66754
control,2018Q1,2018-01-04,4,31110,97864
control,2018Q1,2018-01-05,5,30096,127960
control,2018Q1,2018-01-06,6,12398,140358
control,2018Q1,2018-01-07,7,11586,151944
control,2018Q1,2018-01-08,8,32313,184257
control,2018Q1,2018-01-09,9,33075,217332
control,2018Q1,2018-01-10,10,36121,253453
control,2018Q1,2018-01-11,11,36551,290004
control,2018Q1,2018-01-12,12,35295,325299
control,2018Q1,2018-01-13,13,11934,337233
control,2018Q1,2018-01-14,14,11962,349195
control,2018Q1,2018-01-15,15,28579,377774
control,2018Q1,2018-01-16,16,40790,418564
control,2018Q1,2018-01-17,17,44468,463032
control,2018Q1,2018-01-18,18,45486,508518
control,2018Q1,2018-01-19,19,34490,543008
control,2018Q1,2018-01-20,20,12889,555897
control,2018Q1,2018-01-21,21,12708,568605
control,2018Q1,2018-01-22,22,43060,611665
control,2018Q1,2018-01-23,23,37689,649354
control,2018Q1,2018-01-24,24,38022,687376
control,2018Q1,2018-01-25,25,53385,740761
control,2018Q1,2018-01-26,26,44143,784904
control,2018Q1,2018-01-27,27,26953,811857
control,2018Q1,2018-01-28,28,26836,838693
control,2018Q1,2018-01-29,29,50778,889471
control,2018Q1,2018-01-30,30,49480,938951
control,2018Q1,2018-01-31,31,49011,987962
control,2018Q1,2018-02-01,32,51579,1039541
control,2018Q1,2018-02-02,33,40166,1079707
control,2018Q1,2018-02-03,34,25166,1104873
control,2018Q1,2018-02-04,35,21236,1126109
control,2018Q1,2018-02-05,36,43441,1169550
control,2018Q1,2018-02-06,37,47575,1217125
control,2018Q1,2018-02-07,38,47521,1264646
control,2018Q1,2018-02-08,39,46313,1310959
control,2018Q1,2018-02-09,40,44746,1355705
control,2018Q1,2018-02-10,41,19349,1375054
control,2018Q1,2018-02-11,42,23870,1398924
control,2018Q1,2018-02-12,43,44897,1443821
control,2018Q1,2018-02-13,44,54084,1497905
control,2018Q1,2018-02-14,45,58549,1556454
control,2018Q1,2018-02-15,46,59084,1615538
control,2018Q1,2018-02-16,47,58437,1673975
control,2018Q1,2018-02-17,48,26333,1700308
control,2018Q1,2018-02-18,49,29645,1729953
control,2018Q1,2018-02-19,50,49251,1779204
control,2018Q1,2018-02-20,51,62995,1842199
control,2018Q1,2018-02-21,52,70529,1912728
control,2018Q1,2018-02-22,53,61514,1974242
control,2018Q1,2018-02-23,54,62663,2036905
control,2018Q1,2018-02-24,55,33839,2070744
control,2018Q1,2018-02-25,56,28801,2099545
control,2018Q1,2018-02-26,57,51412,2150957
control,2018Q1,2018-02-27,58,64909,2215866
control,2018Q1,2018-02-28,59,59935,2275801
control,2018Q1,2018-03-01,60,57850,2333651
control,2018Q1,2018-03-02,61,59779,2393430
control,2018Q1,2018-03-03,62,28210,2421640
control,2018Q1,2018-03-04,63,20723,2442363
control,2018Q1,2018-03-05,64,58351,2500714
control,2018Q1,2018-03-06,65,48398,2549112
control,2018Q1,2018-03-07,66,53568,2602680
control,2018Q1,2018-03-08,67,61171,2663851
control,2018Q1,2018-03-09,68,36888,2700739
control,2018Q1,2018-03-10,69,11394,2712133
control,2018Q1,2018-03-11,70,14680,2726813
control,2018Q1,2018-03-12,71,44843,2771656
control,2018Q1,2018-03-13,72,46230,2817886
control,2018Q1,2018-03-14,73,49571,2867457
control,2018Q1,2018-03-15,74,43961,2911418
control,2018Q1,2018-03-16,75,34400,2945818
control,2018Q1,2018-03-17,76,10063,2955881
control,2018Q1,2018-03-18,77,11721,2967602
control,2018Q1,2018-03-19,78,41511,3009113
control,2018Q1,2018-03-20,79,47901,3057014
control,2018Q1,2018-03-21,80,42256,3099270
control,2018Q1,2018-03-22,81,45209,3144479
control,2018Q1,2018-03-23,82,35643,3180122
control,2018Q1,2018-03-24,83,10871,3190993
control,2018Q1,2018-03-25,84,9882,3200875
control,2018Q1,2018-03-26,85,43272,3244147
control,2018Q1,2018-03-27,86,48622,3292769
control,2018Q1,2018-03-28,87,42282,3335051
control,2018Q1,2018-03-29,88,40183,3375234
control,2018Q1,2018-03-30,89,28030,3403264
control,2018Q1,2018-03-31,90,9383,3412647
control,2018Q2,2018-04-01,1,9566,9566
control,2018Q2,2018-04-02,2,28433,37999
control,2018Q2,2018-04-03,3,40447,78446
control,2018Q2,2018-04-04,4,38396,116842
control,2018Q2,2018-04-05,5,42649,159491
control,2018Q2,2018-04-06,6,35083,194574
control,2018Q2,2018-04-07,7,22564,217138
control,2018Q2,2018-04-08,8,20483,237621
control,2018Q2,2018-04-09,9,48150,285771
control,2018Q2,2018-04-10,10,50552,336323
control,2018Q2,2018-04-11,11,56673,392996
control,2018Q2,2018-04-12,12,59351,452347
control,2018Q2,2018-04-13,13,37005,489352
control,2018Q2,2018-04-14,14,10210,499562
control,2018Q2,2018-04-15,15,11261,510823
control,2018Q2,2018-04-16,16,46384,557207
control,2018Q2,2018-04-17,17,59504,616711
control,2018Q2,2018-04-18,18,49574,666285
control,2018Q2,2018-04-19,19,60274,726559
control,2018Q2,2018-04-20,20,37902,764461
control,2018Q2,2018-04-21,21,12700,777161
control,2018Q2,2018-04-22,22,13757,790918
control,2018Q2,2018-04-23,23,47166,838084
control,2018Q2,2018-04-24,24,47124,885208
control,2018Q2,2018-04-25,25,44588,929796
control,2018Q2,2018-04-26,26,57562,987358
control,2018Q2,2018-04-27,27,44665,1032023
control,2018Q2,2018-04-28,28,30156,1062179
control,2018Q2,2018-04-29,29,19627,1081806
control,2018Q2,2018-04-30,30,40393,1122199
control,2018Q2,2018-05-01,31,35527,1157726
control,2018Q2,2018-05-02,32,43279,1201005
control,2018Q2,2018-05-03,33,43402,1244407
control,2018Q2,2018-05-04,34,40734,1285141
control,2018Q2,2018-05-05,35,17763,1302904
control,2018Q2,2018-05-06,36,13652,1316556
control,2018Q2,2018-05-07,37,65595,1382151
control,2018Q2,2018-05-08,38,46844,1428995
control,2018Q2,2018-05-09,39,57447,1486442
control,2018Q2,2018-05-10,40,62905,1549347
control,2018Q2,2018-05-11,41,45939,1595286
control,2018Q2,2018-05-12,42,30304,1625590
control,2018Q2,2018-05-13,43,20401,1645991
control,2018Q2,2018-05-14,44,72180,1718171
control,2018Q2,2018-05-15,45,57195,1775366
control,2018Q2,2018-05-16,46,50804,1826170
control,2018Q2,2018-05-17,47,54542,1880712
control,2018Q2,2018-05-18,48,51551,1932263
control,2018Q2,2018-05-19,49,19772,1952035
control,2018Q2,2018-05-20,50,19645,1971680
control,2018Q2,2018-05-21,51,60769,2032449
control,2018Q2,2018-05-22,52,64956,2097405
control,2018Q2,2018-05-23,53,51976,2149381
control,2018Q2,2018-05-24,54,56728,2206109
control,2018Q2,2018-05-25,55,39856,2245965
control,2018Q2,2018-05-26,56,1731,2247696
control,2018Q2,2018-05-27,57,1480,2249176
control,2018Q2,2018-05-28,58,5311,2254487
control,2018Q2,2018-05-29,59,26489,2280976
control,2018Q2,2018-05-30,60,48687,2329663
control,2018Q2,2018-05-31,61,45678,2375341
control,2018Q2,2018-06-01,62,46625,2421966
control,2018Q2,2018-06-02,63,13147,2435113
control,2018Q2,2018-06-03,64,12865,2447978
control,2018Q2,2018-06-04,65,56887,2504865
control,2018Q2,2018-06-05,66,53692,2558557
control,2018Q2,2018-06-06,67,49157,2607714
control,2018Q2,2018-06-07,68,46596,2654310
control,2018Q2,2018-06-08,69,39519,2693829
control,2018Q2,2018-06-09,70,12453,2706282
control,2018Q2,2018-06-10,71,12519,2718801
control,2018Q2,2018-06-11,72,49146,2767947
control,2018Q2,2018-06-12,73,52053,2820000
control,2018Q2,2018-06-13,74,49800,2869800
control,2018Q2,2018-06-14,75,58829,2928629
control,2018Q2,2018-06-15,76,40339,2968968
control,2018Q2,2018-06-16,77,12798,2981766
control,2018Q2,2018-06-17,78,12976,2994742
control,2018Q2,2018-06-18,79,44951,3039693
control,2018Q2,2018-06-19,80,66489,3106182
control,2018Q2,2018-06-20,81,50202,3156384
control,2018Q2,2018-06-21,82,60674,3217058
control,2018Q2,2018-06-22,83,41372,3258430
control,2018Q2,2018-06-23,84,14015,3272445
control,2018Q2,2018-06-24,85,13980,3286425
control,2018Q2,2018-06-25,86,45351,3331776
control,2018Q2,2018-06-26,87,62315,3394091
control,2018Q2,2018-06-27,88,48526,3442617
control,2018Q2,2018-06-28,89,47402,3490019
control,2018Q2,2018-06-29,90,40714,3530733
control,2018Q2,2018-06-30,91,16597,3547330
control,2018Q3,2018-07-01,1,12631,12631
control,2018Q3,2018-07-02,2,45518,58149
control,2018Q3,2018-07-03,3,46672,104821
control,2018Q3,2018-07-04,4,34758,139579
control,2018Q3,2018-07-05,5,43565,183144
control,2018Q3,2018-07-06,6,37800,220944
control,2018Q3,2018-07-07,7,15744,236688
control,2018Q3,2018-07-08,8,26488,263176
control,2018Q3,2018-07-09,9,59759,322935
control,2018Q3,2018-07-10,10,54953,377888
control,2018Q3,2018-07-11,11,48874,426762
control,2018Q3,2018-07-12,12,61896,488658
control,2018Q3,2018-07-13,13,52948,541606
control,2018Q3,2018-07-14,14,24614,566220
control,2018Q3,2018-07-15,15,17371,583591
control,2018Q3,2018-07-16,16,50518,634109
control,2018Q3,2018-07-17,17,48643,682752
control,2018Q3,2018-07-18,18,47090,729842
control,2018Q3,2018-07-19,19,48615,778457
control,2018Q3,2018-07-20,20,40243,818700
control,2018Q3,2018-07-21,21,14407,833107
control,2018Q3,2018-07-22,22,15814,848921
control,2018Q3,2018-07-23,23,52927,901848
control,2018Q3,2018-07-24,24,70013,971861
control,2018Q3,2018-07-25,25,55716,1027577
control,2018Q3,2018-07-26,26,60122,1087699
control,2018Q3,2018-07-27,27,40629,1128328
control,2018Q3,2018-07-28,28,13145,1141473
control,2018Q3,2018-07-29,29,13244,1154717
control,2018Q3,2018-07-30,30,47467,1202184
control,2018Q3,2018-07-31,31,53561,1255745
control,2018Q3,2018-08-01,32,49867,1305612
control,2018Q3,2018-08-02,33,47362,1352974
control,2018Q3,2018-08-03,34,39703,1392677
control,2018Q3,2018-08-04,35,12929,1405606
control,2018Q3,2018-08-05,36,12476,1418082
control,2018Q3,2018-08-06,37,48107,1466189
control,2018Q3,2018-08-07,38,53008,1519197
control,2018Q3,2018-08-08,39,51100,1570297
control,2018Q3,2018-08-09,40,48484,1618781
control,2018Q3,2018-08-10,41,43841,1662622
control,2018Q3,2018-08-11,42,16567,1679189
control,2018Q3,2018-08-12,43,16195,1695384
control,2018Q3,2018-08-13,44,52992,1748376
control,2018Q3,2018-08-14,45,49594,1797970
